Data,Piso,Posição,Observação
12/3/2024,2.0,6408.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1575.0,Sem cabo de Intelbras
12/3/2024,3.0,1638.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1637.0,Cabo Intelbras largado na mesa e não está lacrado direito
12/3/2024,3.0,1636.0,Calha levantada
12/3/2024,3.0,1652.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1654.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1655.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1659.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1360.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1469.0,Ramal não lacrado
12/3/2024,3.0,1452.0,Dois cabos conectados na porta da frente e máquina não lacrada direito
12/3/2024,3.0,1453.0,Sem cabo A10
12/3/2024,3.0,1455.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1645.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1394.0,Cabo de fonte do ramal e um cabo AC do monitor não estava conectado na tomada
12/3/2024,3.0,1389.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1382.0,Sem cabo A10
12/3/2024,3.0,1384.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1243.0,Sem cabo A10
12/3/2024,3.0,1242.0,Sem cabo A10
12/3/2024,3.0,1241.0,Sem cabo A10
12/3/2024,3.0,1240.0,Sem cabo A10
12/3/2024,3.0,1238.0,Sem cabo A10
12/3/2024,3.0,251.0,Um cabo conectado na porta da frente
12/3/2024,3.0,250.0,O ramal não está lacrado
12/3/2024,3.0,231.0,Ramal não lacrado
12/3/2024,3.0,230.0,Ramal não lacrado
12/3/2024,3.0,229.0,Ramal não lacrado
12/3/2024,3.0,228.0,Ramal não lacrado
12/3/2024,3.0,240.0,Máquina não lacrada
12/3/2024,3.0,241.0,Ramal não lacrado
12/3/2024,3.0,242.0,PA não lacrada
12/3/2024,3.0,243.0,Ramal não lacrado
12/3/2024,3.0,68.0,Um cabo conectado na porta da frente
12/3/2024,3.0,53.0,Um cabo conectado na porta da frente
12/3/2024,3.0,38.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1034.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1035.0,Um cabo VGA sem utilidade
12/3/2024,3.0,1012.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1006.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1000.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1001.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1002.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1062.0,Dois cabos conectados na porta da frente
12/3/2024,3.0,1072.0,Dois cabos conectados na porta da frente
12/3/2024,3.0,1130.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1132.0,Dois cabos conectados na porta da frente
12/3/2024,3.0,1128.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1139.0,Um cabo de VGA largado
12/3/2024,3.0,1144.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1143.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1137.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1136.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1085.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1091.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1081.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1099.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1101.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1147.0,Dois cabos conectados na porta da frente
12/3/2024,3.0,1062.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1155.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1159.0,Dois cabos de Intelbras
12/3/2024,3.0,1125.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1124.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1122.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1111.0,Um cabo conectado na porta da frente
12/3/2024,3.0,1618.0,VGA sem utilizar
12/3/2024,3.0,1232.0,Cabo conectado na frente
12/3/2024,3.0,1295.0,Cabo conectado na frente
12/3/2024,3.0,1297.0,Cabo A10 encontrado na PA
12/3/2024,3.0,1293.0,Cabo conectado na frente
12/3/2024,3.0,1277.0,Dois cabos A10 encontrados
12/3/2024,3.0,1278.0,Cabos conectados na frente
12/3/2024,3.0,1268.0,Dois cabos A10 encontrados
12/3/2024,3.0,1267.0,Dois cabos A10 encontrados
12/3/2024,3.0,1252.0,Cabo Intelbras sem utilizar
12/3/2024,3.0,1245.0,Cabo conectado na frente
12/3/2024,3.0,303.0,Cabo conectado na frente
12/3/2024,3.0,252.0,Cabo conectado na frente
12/3/2024,3.0,264.0,Calha levantada
12/3/2024,3.0,274.0,Cabo conectado na frente
12/3/2024,3.0,275.0,Cabo conectado na frente
12/3/2024,3.0,287.0,Cabo conectado na frente
12/3/2024,3.0,206.0,Cabo conectado na frente
12/3/2024,3.0,198.0,Cabo conectado na frente
12/3/2024,3.0,197.0,Cabo conectado na frente
12/3/2024,3.0,187.0,Cabo conectado na frente
12/3/2024,3.0,186.0,Cabo conectado na frente
12/3/2024,3.0,1134.0,Cabo conectado na frente
12/3/2024,3.0,159.0,Cabo conectado na frente
12/3/2024,3.0,169.0,Cabo conectado na frente
12/3/2024,3.0,168.0,Cabo conectado na frente
12/3/2024,3.0,167.0,Cabo conectado na frente
12/3/2024,3.0,1189.0,Cabo conectado na frente
12/3/2024,3.0,1191.0,Dois cabos Intelbras
12/3/2024,3.0,1187.0,Cabo conectado na frente
12/3/2024,3.0,1169.0,Cabo conectado na frente
12/3/2024,3.0,213.0,Cabo conectado na frente
12/3/2024,3.0,212.0,PA sem mouse e sem lacre
12/3/2024,3.0,126.0,Cabo conectado na frente
12/3/2024,3.0,124.0,Cabo conectado na frente
12/3/2024,3.0,135.0,Cabo Intelbras desconectado e deslacrado
12/3/2024,3.0,137.0,Cabo conectado na frente
12/3/2024,3.0,220.0,Cabo conectado na frente
12/3/2024,3.0,221.0,Cabos conectados na frente
12/3/2024,3.0,190.0,Cabo conectado na frente
12/3/2024,3.0,108.0,Cabo conectado na frente
12/3/2024,3.0,92.0,Cabo conectado na frente
12/3/2024,3.0,91.0,Dois cabos A10 na posição
12/3/2024,3.0,90.0,Cabo conectado na frente
12/3/2024,3.0,89.0,Cabo conectado na frente
12/3/2024,3.0,107.0,Cabo conectado na frente
12/3/2024,3.0,143.0,Cabo conectado na frente
12/3/2024,3.0,26.0,Cabo conectado na frente
12/3/2024,3.0,27.0,Cabo conectado na frente
12/3/2024,3.0,31.0,Cabo conectado na frente
12/3/2024,3.0,43.0,Ramal não lacrado
12/3/2024,3.0,42.0,Posição não lacrada
12/3/2024,3.0,41.0,Posição não lacrada
12/3/2024,3.0,58.0,Ramal sem lacrar
12/3/2024,3.0,25.0,Ramal não está lacrado
12/3/2024,3.0,60.0,Cabo conectado na frente
12/3/2024,3.0,44.0,Posição Deslacrado
12/3/2024,3.0,45.0,Ramal não lacrado
12/3/2024,3.0,61.0,Ramal não lacrado
12/3/2024,3.0,62.0,Ramal não lacrado
12/3/2024,3.0,63.0,Ramal não lacrado
12/3/2024,3.0,29.0,Ramal não lacrado
12/3/2024,3.0,46.0,Ramal não lacrado
12/3/2024,3.0,30.0,Ramal não lacrado
12/3/2024,3.0,171.0,Um cabo conectado na porta da frente
12/3/2024,3.0,47.0,Posição não lacrada
12/3/2024,3.0,31.0,Um cabo conectado na porta da frente e a posição não lacrada
12/3/2024,3.0,180.0,Um cabo conectado na porta da frente
12/3/2024,3.0,181.0,Um cabo conectado na porta da frente
12/3/2024,3.0,150.0,Um cabo conectado na porta da frente e a posição não lacrada
12/3/2024,3.0,160.0,Deslacrado
12/3/2024,3.0,161.0,Um cabo conectado na porta da frente
12/3/2024,3.0,152.0,Um cabo conectado na porta da frente
12/6/2024,3.0,1169.0,Cabo conectado na frente
12/6/2024,3.0,1170.0,Deslacrado
12/6/2024,3.0,1171.0,Deslacrado
12/6/2024,3.0,1172.0,Deslacrado
12/6/2024,3.0,1174.0,Deslacrado
12/6/2024,3.0,1183.0,Deslacrado
12/6/2024,3.0,1180.0,Deslacrado
12/6/2024,3.0,1191.0,Deslacrado
12/6/2024,3.0,1192.0,Deslacrado
12/6/2024,3.0,1193.0,Deslacrado
12/6/2024,3.0,1188.0,Deslacrado
12/6/2024,3.0,1186.0,Deslacrado
12/6/2024,3.0,1185.0,Deslacrado
12/6/2024,3.0,155.0,Deslacrado
12/6/2024,3.0,156.0,Deslacrado
12/6/2024,3.0,157.0,Deslacrado
12/6/2024,3.0,158.0,Deslacrado
12/6/2024,3.0,159.0,2 intelbras
12/6/2024,3.0,169.0,Porta da tras não funciona
12/6/2024,3.0,168.0,Cabo conectado na frente
12/6/2024,3.0,166.0,Máquina sem lacre
12/6/2024,3.0,175.0,Máquina com Cabo na frente
12/6/2024,3.0,187.0,Máquina com 2 intelbras
12/6/2024,3.0,204.0,Máquina sem lacre
12/6/2024,3.0,230.0,Sem lacre na máquina
12/6/2024,3.0,229.0,Sem lacre na máquina
12/6/2024,3.0,228.0,Sem lacre na máquina
12/6/2024,3.0,240.0,Sem lacre na máquina
12/6/2024,3.0,241.0,Sem lacre no ramal
12/6/2024,4.0,2051.0,Sem lacre no avaya
12/6/2024,4.0,2057.0,Sem lacre no avaya
12/6/2024,4.0,2056.0,Sem lacre no avaya
12/6/2024,4.0,2054.0,Sem lacre no avaya
12/6/2024,4.0,2052.0,Sem lacre no avaya
12/6/2024,4.0,2051.0,Sem lacre no avaya
12/6/2024,4.0,2050.0,Sem lacre no avaya
12/6/2024,4.0,2049.0,Sem lacre no avaya
12/6/2024,4.0,2043.0,Sem lacre no avaya
12/6/2024,4.0,2154.0,Sem lacre no avaya
12/6/2024,4.0,2149.0,Avaya travando
12/6/2024,4.0,2153.0,Sem lacre no avaya
12/6/2024,4.0,2147.0,Sem lacre no avaya
12/6/2024,4.0,2144.0,Sem lacre na máquina
12/6/2024,4.0,2143.0,Sem lacre na máquina
12/6/2024,4.0,2142.0,Sem lacre na máquina e no avaya
12/6/2024,4.0,2139.0,Cabo conectado na frente
12/6/2024,4.0,2130.0,Sem lacre no avaya
12/6/2024,4.0,2128.0,Sem lacre no avaya e na máquina
12/6/2024,4.0,2132.0,Sem lacre no avaya
12/6/2024,4.0,2133.0,Sem lacre no avaya e na máquina
12/6/2024,4.0,2047.0,Pa Deslacrado eo avaya
12/6/2024,4.0,2046.0,Deslacrado
12/6/2024,4.0,2027.0,USB conectado na frente e Deslacrado
12/6/2024,4.0,2026.0,Máquina com erro no hd
12/6/2024,4.0,2031.0,Deslacrado
12/6/2024,4.0,2030.0,Deslacrado
12/6/2024,4.0,2023.0,Deslacrado
12/6/2024,4.0,2022.0,Deslacrado
12/6/2024,5.0,3146.0,Ramal e máquina sem lacre
12/6/2024,5.0,3140.0,Máquina e ramal sem lacre
12/6/2024,5.0,3137.0,Deslacrado
12/6/2024,5.0,3133.0,Deslacrado
12/6/2024,5.0,3620.0,Cabo conectado na frente
12/6/2024,5.0,3619.0,Cabo conectado na frente e sem lacre no avaya
12/6/2024,5.0,3617.0,Cabo conectado na frente
12/6/2024,5.0,3625.0,Cabo conectado na frente
12/6/2024,5.0,3627.0,Sem lacre no avaya
12/6/2024,5.0,3628.0,Sem lacre no avaya
12/6/2024,5.0,3644.0,Sem lacre no avaya
12/6/2024,5.0,3641.0,Sem lacre no avaya e na máquina
12/6/2024,5.0,3639.0,Cabo conectado na frente
12/6/2024,5.0,3638.0,Sem lacre no avaya
12/6/2024,5.0,3631.0,Sem lacre no avaya
12/6/2024,5.0,3632.0,Sem lacre no avaya
12/6/2024,5.0,3633.0,Sem lacre na máquina
12/6/2024,5.0,3634.0,Sem lacre na máquina
12/6/2024,5.0,3635.0,Sem lacre no avaya
12/6/2024,5.0,3636.0,Sem lacre no avaya
12/6/2024,5.0,3648.0,Sem lacre no avaya e na máquina
12/6/2024,5.0,3651.0,Sem lacre na máquina
12/6/2024,5.0,3652.0,Sem lacre no avaya
12/6/2024,5.0,3653.0,Sem lacre no avaya e na máquina
12/6/2024,5.0,3655.0,Sem lacre no avaya
12/6/2024,5.0,3661.0,Sem lacre na máquina
12/6/2024,5.0,3660.0,Sem lacre na máquina
12/6/2024,5.0,3658.0,Sem lacre na máquina e no avaya
12/6/2024,5.0,3219.0,Cabo conectado na frente
12/6/2024,5.0,3221.0,Cabo conectado na frente
12/6/2024,6.0,4528.0,Cabo desconectado
12/6/2024,6.0,4538.0,Carregador conectado
12/6/2024,6.0,4700.0,Cabo conectado na frente
12/6/2024,6.0,4701.0,Cabo conectado na frente
12/6/2024,6.0,4741.0,Máquina com a parte da frente desmontada
12/6/2024,6.0,4034.0,Máquina aparenta não ter hd
12/6/2024,6.0,4048.0,2 cabos intelbras
12/6/2024,6.0,4053.0,Cabo display port com 1 monitor
12/6/2024,6.0,4715.0,Dois cabo displayport
12/6/2024,6.0,4800.0,Máquina com recuperação
12/6/2024,6.0,4838.0,"Não possui máquina, teclado e mouse"
12/6/2024,6.0,4819.0,Carregador conectado
12/6/2024,6.0,4232.0,Fone carregando na máquina
12/6/2024,6.0,4478.0,Dois cabo de rede
12/6/2024,6.0,4300.0,Dois intelbras
12/6/2024,6.0,4302.0,Deslacrado
12/10/2024,2.0,6616.0,Cabo de rede extra
12/10/2024,2.0,6618.0,Cabo usb porta da frente
12/10/2024,3.0,171.0,Usb mouse
12/10/2024,3.0,181.0,Usb mouse teclado
12/10/2024,3.0,183.0,Usb intelbras
12/10/2024,3.0,213.0,Usb mouse
12/10/2024,3.0,1188.0,Usb mouse e sem lacre
12/10/2024,3.0,1189.0,Usb mouse
12/10/2024,3.0,167.0,Usb intelbras
12/10/2024,3.0,195.0,Usb mouse
12/10/2024,3.0,197.0,Calha e usb mouse e teclado
12/10/2024,3.0,206.0,Usb intelbras
12/10/2024,3.0,286.0,Usb mouse
12/10/2024,3.0,307.0,Usb mouse
12/10/2024,3.0,1460.0,Porta USB mouse
12/10/2024,3.0,76.0,Cabo usb porta da frente
12/10/2024,3.0,161.0,Cabo usb porta da frente
12/10/2024,4.0,2035.0,Usb mouse
12/10/2024,4.0,2119.0,Usb mouse
12/10/2024,4.0,2683.0,"Um avaya, 2 intelbras his e alicate 9"
12/10/2024,4.0,2667.0,Cabo usb porta da frente
12/10/2024,4.0,2558.0,Cabo usb porta da frente
12/10/2024,4.0,2285.0,Cabo usb porta da frente
12/10/2024,4.0,2111.0,Cabo usb porta da frente
12/10/2024,4.0,2130.0,Cabo usb porta da frente
12/10/2024,4.0,2134.0,Cabo usb porta da frente
12/10/2024,4.0,2132.0,Cabo usb porta da frente
12/10/2024,4.0,2127.0,Cabo usb porta da frente
12/10/2024,4.0,2130.0,Cabo usb porta da frente
12/10/2024,4.0,2137.0,Cabo usb porta da frente
12/10/2024,4.0,2152.0,Cabo usb porta da frente
12/10/2024,4.0,2075.0,Calha levantada
12/10/2024,5.0,3281.0,Usb na porta da frente
12/10/2024,5.0,3272.0,Usb na porta da frente
12/10/2024,5.0,3205.0,Usb na porta da frente
12/10/2024,5.0,3414.0,Usb porta da frente
12/10/2024,5.0,3552.0,Usb porta da frente
12/10/2024,5.0,3636.0,Usb porta da frente
12/10/2024,5.0,3635.0,Usb porta da frente
12/10/2024,5.0,3402.0,Cabo usb porta da frente
12/10/2024,5.0,3399.0,Dois intelbras
12/10/2024,5.0,3376.0,Cabo usb porta da frente
12/10/2024,5.0,3306.0,Cabo usb porta da frente
12/10/2024,5.0,3304.0,Cabo usb porta da frente
12/10/2024,5.0,3177.0,Sem internet
12/10/2024,5.0,3160.0,Cabo usb porta da frente
12/10/2024,5.0,3162.0,Cabo usb porta da frente
12/10/2024,5.0,3046.0,Cabo usb porta da frente
12/10/2024,5.0,3067.0,Cabo usb porta da frente
12/10/2024,5.0,3063.0,Cabo usb porta da frente
12/10/2024,5.0,3056.0,Cabo usb porta da frente
12/10/2024,5.0,3061.0,Cabo usb porta da frente
12/10/2024,5.0,3073.0,Cabo usb porta da frente
12/10/2024,5.0,3074.0,Cabo usb porta da frente
12/10/2024,6.0,4278.0,Cabo usb porta da frente
12/10/2024,6.0,4215.0,Cabos desconectados
12/10/2024,6.0,4119.0,Máquina congelada
12/10/2024,6.0,4696.0,Cabo usb porta da frente
12/10/2024,6.0,4192.0,Intelbras na porta do USB da frente
12/10/2024,6.0,4191.0,Mouse na porta do USB da frente
12/10/2024,6.0,4168.0,Intelbras na porta usb da frente
12/10/2024,6.0,4174.0,Teclado na porta usb da frente
12/10/2024,6.0,4160.0,Intelbras na porta usb da frente tem menu de contexto
12/13/2024,2.0,6938.0,Deslacrado
12/13/2024,2.0,6935.0,Deslacrado
12/13/2024,2.0,6643.0,Deslacrado
12/13/2024,2.0,6630.0,Deslacrado
12/13/2024,2.0,6628.0,Deslacrado
12/13/2024,2.0,6097.0,Deslacrado
12/13/2024,2.0,6887.0,Deslacrado
12/13/2024,2.0,6601.0,Deslacrado
12/13/2024,2.0,6599.0,Deslacrado
12/13/2024,3.0,1651.0,Cabo usb na porta da frente
12/13/2024,3.0,1654.0,Cabo usb na porta da frente
12/13/2024,3.0,1604.0,Calha levantada
12/13/2024,3.0,1389.0,Cabo usb na porta da frente
12/13/2024,3.0,1651.0,Cabo usb na porta da frente
12/13/2024,3.0,1654.0,Cabo usb na porta da frente
12/13/2024,3.0,1655.0,Cabo usb na porta da frente
12/13/2024,3.0,1604.0,Calha levantada
12/13/2024,3.0,1389.0,Cabo usb na porta da frente
12/13/2024,3.0,1278.0,Deslacrado
12/13/2024,3.0,1360.0,2 mouses
12/13/2024,3.0,1155.0,Deslacrado
12/13/2024,3.0,1137.0,Cabo usb na porta da frente
12/13/2024,3.0,1081.0,Cabo usb na porta da frente
12/13/2024,3.0,1091.0,Cabo usb na porta da frente
12/13/2024,3.0,1144.0,Cabo usb na porta da frente
12/13/2024,3.0,1062.0,Cabo usb na porta da frente
12/13/2024,3.0,1127.0,Deslacrado
12/13/2024,3.0,1128.0,Cabo usb na porta da frente
12/13/2024,3.0,1129.0,Cabo usb na porta da frente
12/13/2024,3.0,197.0,Deslacrado
12/13/2024,3.0,198.0,Cabo usb na porta da frente
12/13/2024,3.0,205.0,Deslacrado
12/13/2024,3.0,204.0,Deslacrado
12/13/2024,3.0,185.0,Cabo usb na porta da frente
12/13/2024,3.0,187.0,Cabo usb na porta da frente
12/13/2024,3.0,165.0,Deslacrado
12/13/2024,3.0,159.0,Deslacrado
12/13/2024,3.0,158.0,Deslacrado
12/13/2024,3.0,157.0,Deslacrado
12/13/2024,3.0,156.0,Deslacrado
12/13/2024,3.0,155.0,Deslacrado
12/13/2024,3.0,1186.0,Deslacrado
12/13/2024,3.0,1187.0,Cabo conectado na porta da frente
12/13/2024,3.0,1188.0,Deslacrado
12/13/2024,3.0,1193.0,Deslacrado
12/13/2024,3.0,1192.0,Deslacrado
12/13/2024,3.0,1191.0,Deslacrado
12/13/2024,3.0,1183.0,Deslacrado
12/13/2024,3.0,1175.0,Deslacrado
12/13/2024,3.0,1167.0,Deslacrado
12/13/2024,3.0,1172.0,Deslacrado
12/13/2024,3.0,1170.0,Deslacrado
12/13/2024,3.0,1169.0,Deslacrado
12/13/2024,4.0,2167.0,Deslacrado
12/13/2024,4.0,2187.0,Deslacrado
12/13/2024,4.0,2050.0,Deslacrado
12/13/2024,4.0,2057.0,Deslacrado
12/13/2024,4.0,2051.0,Deslacrado
12/13/2024,4.0,2936.0,Deslacrado
12/13/2024,4.0,2937.0,Deslacrado
12/13/2024,4.0,2047.0,Deslacrado
12/13/2024,4.0,2025.0,Mouse na porta da frente
12/13/2024,4.0,2027.0,Deslacrado
12/13/2024,4.0,2015.0,Deslacrado
12/13/2024,4.0,2016.0,2 mouse na posição e teclado na parte da frente
12/13/2024,4.0,2017.0,Deslacrado e mouse e teclado na porta da frente
12/13/2024,4.0,2020.0,Deslacrado
12/13/2024,4.0,2570.0,Deslacrado
12/13/2024,4.0,2568.0,Deslacrado
12/13/2024,4.0,2559.0,Deslacrado
12/13/2024,4.0,2553.0,Deslacrado
12/13/2024,4.0,2474.0,Deslacrado
12/13/2024,4.0,2475.0,Deslacrado
12/13/2024,4.0,2476.0,Deslacrado
12/13/2024,4.0,2219.0,Deslacrado
12/13/2024,4.0,2275.0,Deslacrado
12/13/2024,4.0,2277.0,Sem calha
12/13/2024,4.0,2285.0,Deslacrado e teclado nas porta da frente
12/13/2024,4.0,2279.0,Deslacrado
12/13/2024,4.0,2295.0,Deslacrado
12/13/2024,4.0,2284.0,Deslacrado
12/13/2024,4.0,2515.0,Deslacrado
12/13/2024,4.0,2513.0,Deslacrado
12/13/2024,4.0,2601.0,Deslacrado
12/13/2024,4.0,2607.0,Deslacrado
12/13/2024,4.0,2525.0,Deslacrado
12/13/2024,4.0,2540.0,Deslacrado
12/13/2024,4.0,2593.0,Deslacrado
12/13/2024,4.0,2591.0,Deslacrado
12/13/2024,4.0,2660.0,Deslacrado
12/13/2024,4.0,2663.0,Deslacrado
12/13/2024,4.0,2679.0,Deslacrado
12/13/2024,4.0,2680.0,Deslacrado
12/13/2024,4.0,2166.0,Deslacrado
12/13/2024,4.0,2165.0,Deslacrado
12/13/2024,4.0,2262.0,Deslacrado
12/13/2024,4.0,2159.0,Deslacrado
12/13/2024,4.0,2147.0,Deslacrado
12/13/2024,4.0,2149.0,Deslacrado
12/13/2024,4.0,2144.0,Deslacrado
12/13/2024,4.0,2143.0,Deslacrado
12/13/2024,4.0,2142.0,Deslacrado
12/13/2024,4.0,2137.0,Deslacrado
12/13/2024,4.0,2139.0,Deslacrado
12/13/2024,4.0,2134.0,Deslacrado
12/13/2024,4.0,2133.0,Deslacrado
12/13/2024,4.0,2132.0,Deslacrado
12/13/2024,4.0,2127.0,Deslacrado
12/13/2024,4.0,2128.0,Deslacrado
12/13/2024,5.0,3036.0,2 mouses
12/13/2024,5.0,3047.0,Cabo usb na porta da frente
12/13/2024,5.0,3046.0,Cabo usb na porta da frente
12/13/2024,5.0,3045.0,Cabo usb na porta da frente
12/13/2024,5.0,3044.0,Cabo usb na porta da frente
12/13/2024,5.0,3067.0,Cabo usb na porta da frente
12/13/2024,5.0,3066.0,Cabo usb na porta da frente
12/13/2024,5.0,3063.0,Cabo usb na porta da frente
12/13/2024,5.0,3106.0,Cabo usb na porta da frente
12/13/2024,5.0,3060.0,Cabo usb na porta da frente
12/13/2024,5.0,3161.0,Cabo usb na porta da frente
12/13/2024,5.0,3173.0,Cabo usb na porta da frente
12/13/2024,5.0,3174.0,Cabo usb na porta da frente
12/13/2024,5.0,3154.0,Máquina não a porta de tras
12/13/2024,5.0,3156.0,Cabo usb na porta da frente
12/13/2024,5.0,3201.0,2 intelbras
12/13/2024,5.0,3255.0,Cabo usb na porta da frente
12/13/2024,5.0,3256.0,Cabo usb na porta da frente
12/13/2024,5.0,3248.0,Cabo usb na porta da frente
12/13/2024,5.0,3247.0,Cabo usb na porta da frente
12/13/2024,5.0,3180.0,Cabo usb na porta da frente e Deslacrado
12/13/2024,5.0,3246.0,Cabo usb na porta da frente
12/13/2024,5.0,3183.0,Sem lacre e Cabo usb na porta da frente
12/13/2024,5.0,3652.0,Sem lacre no avaya
12/13/2024,5.0,3653.0,Sem lacre na pa
12/13/2024,5.0,3658.0,Sem lacre no avaya
12/13/2024,5.0,3452.0,Cabo usb na porta da frente e sem lacre
12/13/2024,5.0,3406.0,2 cabos intelbras
12/13/2024,5.0,3391.0,Ayava Deslacrado
12/13/2024,5.0,3386.0,Cabo usb na porta da frente
12/13/2024,5.0,3338.0,Avaya Deslacrado
12/13/2024,5.0,3325.0,Calha levantada
12/13/2024,5.0,3321.0,Avaya Deslacrado
12/13/2024,5.0,3318.0,Avaya Deslacrado
12/13/2024,5.0,3317.0,Avaya Deslacrado
12/13/2024,5.0,3310.0,Avaya Deslacrado
12/13/2024,5.0,3312.0,Avaya Deslacrado
12/13/2024,5.0,3313.0,Pa Deslacrado
12/13/2024,5.0,3415.0,Avaya com problema
12/13/2024,5.0,3414.0,Cabo usb na porta da frente e 2 mouses
12/13/2024,6.0,4127.0,Sem lacre
12/13/2024,6.0,4434.0,Sem calha
12/13/2024,6.0,4431.0,Sem calha
12/13/2024,6.0,1655.0,Cabo usb na porta da frente
12/13/2024,6.0,6953.0,Deslacrado
12/13/2024,6.0,4420.0,Sem calha
12/13/2024,6.0,4421.0,Sem calha
12/13/2024,6.0,4422.0,Sem lacre e sem calha
12/13/2024,6.0,4423.0,Deslacrado
12/13/2024,6.0,4408.0,Deslacrado
12/13/2024,6.0,4119.0,Pa com USB na frente
12/13/2024,6.0,4269.0,Pa com USB na frente
12/13/2024,6.0,4126.0,Deslacrado
12/13/2024,6.0,4099.0,Deslacrado
12/13/2024,6.0,4100.0,Deslacrado
12/13/2024,6.0,4489.0,Deslacrado e intelbras na porta da frente
12/13/2024,6.0,4488.0,Deslacrado
12/17/2024,3.0,1004.0,Deslacrado
12/17/2024,3.0,1005.0,Deslacrado
12/17/2024,3.0,1062.0,Deslacrado
12/17/2024,3.0,1175.0,Deslacrado
12/17/2024,3.0,1135.0,Deslacrado
12/17/2024,3.0,1136.0,Deslacrado
12/17/2024,3.0,1137.0,Deslacrado
12/17/2024,3.0,1163.0,Deslacrado
12/17/2024,3.0,1125.0,Deslacrado e USB conectado na frente
12/17/2024,3.0,1122.0,USB conectado na frente
12/17/2024,3.0,1111.0,USB conectado na frente
12/17/2024,3.0,156.0,Deslacrado
12/17/2024,3.0,1296.0,USB conectado na frente
12/17/2024,3.0,1132.0,USB conectado na frente e deslacrado
12/17/2024,3.0,1132.0,Deslacrado
12/17/2024,3.0,1130.0,USB conectado na frente e deslacrado
12/17/2024,3.0,1077.0,Deslacrado
12/17/2024,3.0,1005.0,Deslacrado
12/17/2024,3.0,1012.0,Deslacrado
12/17/2024,3.0,999.0,Deslacrado
12/17/2024,3.0,1006.0,USB conectado na frente e deslacrado
12/17/2024,3.0,1088.0,Deslacrado
12/17/2024,3.0,1093.0,Deslacrado
12/17/2024,3.0,1134.0,Deslacrado
12/17/2024,3.0,1137.0,Deslacrado
12/17/2024,3.0,1138.0,Deslacrado
12/17/2024,3.0,1143.0,Deslacrado
12/17/2024,3.0,1152.0,Deslacrado
12/17/2024,3.0,1151.0,Deslacrado
12/17/2024,3.0,1147.0,Deslacrado e USB conectado na frente
12/17/2024,3.0,1100.0,Deslacrado
12/17/2024,3.0,1105.0,Deslacrado
12/17/2024,3.0,1096.0,Deslacrado
12/17/2024,3.0,1029.0,Deslacrado
12/17/2024,3.0,1026.0,Deslacrado
12/17/2024,3.0,1025.0,Deslacrado
12/17/2024,3.0,1119.0,Deslacrado
12/17/2024,3.0,1115.0,Deslacrado
12/17/2024,3.0,1160.0,Deslacrado
12/17/2024,3.0,183.0,USB conectado na frente e deslacrado
12/17/2024,3.0,181.0,Deslacrado
12/17/2024,3.0,193.0,Deslacrado
12/17/2024,3.0,191.0,Deslacrado
12/17/2024,3.0,190.0,Deslacrado
12/17/2024,3.0,189.0,Deslacrado
12/17/2024,3.0,94.0,Deslacrado
12/17/2024,3.0,90.0,Deslacrado
12/17/2024,3.0,89.0,Deslacrado
12/17/2024,3.0,88.0,Deslacrado
12/17/2024,3.0,85.0,Deslacrado
12/17/2024,3.0,251.0,USB conectado na frente e deslacrado
12/17/2024,3.0,238.0,Deslacrado
12/17/2024,3.0,232.0,Deslacrado
12/17/2024,3.0,253.0,Deslacrado
12/17/2024,4.0,2047.0,Pa Deslacrado e o avaya
12/17/2024,4.0,2046.0,Deslacrado
12/17/2024,4.0,2027.0,USB conectado na frente e Deslacrado
